Company;Report URL;Type of Report;Year Published;Industry;Geography
Xcel Energy;https://s25.q4cdn.com/680186029/files/doc_downloads/irw/TCFD/Managing-Risks-Opportunities-in-a-Clean-Energy-Future-(TCFD-response).pdf;Climate/TCFD Report;2020;Electric and Gas Utilities;United States of America
"Legal &#038; General";https://group.legalandgeneral.com/media/0i2agi1s/fy2020-lg-tcfd-report.pdf;Climate/TCFD Report;2020;Insurance;United Kingdom
PhosAgro;https://www.phosagro.com/upload/iblock/e15/e15bf1098983dd8976a69b3e55184580.pdf;Climate/TCFD Report;2020;Chemicals;Russia
Zurich;https://www.zurich.co.uk/-/media/project/zwp/united-kingdom/docs/about-us/cr/zurich_climatewise_report_2020.pdf;Climate/TCFD Report;2020;Insurance;Switzerland
Vistra;https://www.vistracorp.com/wp-content/uploads/2020/11/VST-2020-Climate-Report.pdf;Climate/TCFD Report;2020;Electric and Gas Utilities;United States of America
Van Lanschot Kempen;https://www.vanlanschotkempen.com/media/3737/task-force-on-climate-related-financial-disclosures-03-2020.pdf;Climate/TCFD Report;2020;Asset Managers;Netherlands
TotalEnergies;https://totalenergies.com/sites/g/files/nytnzq121/files/documents/2020-10/total-climate-report-2020.pdf;Climate/TCFD Report;2020;Oil and Gas;France
TD Bank;https://www.td.com/document/PDF/ESG/2020-TCFD-Report.pdf;Climate/TCFD Report;2020;Banks;Canada
Standard Chartered;https://av.sc.com/corp-en/content/docs/tcfd-climate-change-disclosure.pdf;Climate/TCFD Report;2020;Banks;United Kingdom
Société Générale;https://www.societegenerale.com/sites/default/files/documents/2020-12/societe-generale-climate-disclosure-report.pdf;Climate/TCFD Report;2020;Banks;France
Sasol;https://www.sasol.com/sites/default/files/financial_reports/SASOL%20CCR%202020.pdf;Climate/TCFD Report;2020;Electric and Gas Utilities;South Africa
Santander Group;https://www.santander.com/content/dam/santander-com/en/documentos/informe-anual-de-sostenibilidad/2019/ias-2019-climate-finance-2019-20-en.pdf;Climate/TCFD Report;2020;Banks;Spain
Rio Tinto;https://www.riotinto.com/-/media/Content/Documents/Invest/Reports/Climate-Change-reports/RT-climate-report-2020.pdf?rev=c415a8138bd7408496ccb3834511abc0;Climate/TCFD Report;2020;Metals and Mining;United Kingdom
RBC Global Asset Management;https://www.rbcgam.com/documents/en/other/2020-rbc-gam-tcfd-report.pdf;Climate/TCFD Report;2020;Asset Managers;Canada
Regency Centres;https://regcorpweb.blob.core.windows.net/sitefinityfiles/docs/default-source/corporate-responsibility/2020-tcfd-report.pdf?sfvrsn=f3b73e48_2;Climate/TCFD Report;2020;Asset Managers;United States of America
Regions Financial Corporation;https://ir.regions.com/~/media/Files/R/Regions-IR/documents/governance-documents/2020-task-force-on-climate-related-financial-disclosures-tcfd-report.pdf;Climate/TCFD Report;2020;Banks;United States of America
Royal Bank of Canada;https://www.rbc.com/community-social-impact/_assets-custom/pdf/RBC-TCFD-Report-2020.PDF;Climate/TCFD Report;2020;Banks;Canada
Petrobras;https://api.mziq.com/mzfilemanager/v2/d/25fdf098-34f5-4608-b7fa-17d60b2de47d/213aa8f9-2bfc-0b3b-afd0-195d22555f27?origin=1;Climate/TCFD Report;2020;Oil and Gas;Brazil
Nedbank Group;https://www.nedbank.co.za/content/dam/nedbank/site-assets/AboutUs/Information%20Hub/Integrated%20Report/2021/2020%20Nedbank%20Group%20TCFD%20Report%20(single%20page).pdf;Climate/TCFD Report;2020;Banks;South Africa
NatWest Group;https://investors.natwestgroup.com/~/media/Files/R/RBS-IR-V2/results-center/19022021/2020-climate-related-disclosure-report.pdf;Climate/TCFD Report;2020;Banks;United Kingdom
Mizuho Financial Group;https://www.mizuhogroup.com/binaries/content/assets/pdf/mizuhoglobal/sustainability/overview/report/tcfd_report.pdf;Climate/TCFD Report;2020;Banks;Japan
Marathon Petroleum;https://www.marathonpetroleum.com/content/documents/Responsibility/2020-MPC-MPLX-ClimateReport.pdf;Climate/TCFD Report;2020;Oil and Gas;United States of America
Macquarie Group;https://www.macquarie.com/assets/macq/impact/esg/policies/tcfd-implementation-progress-and-scenario-analysis-fy20.pdf;Climate/TCFD Report;2020;Banks;Australia
Investor AB;https://www.investorab.com/media/wiid2rbh/climate-report-2020.pdf;Climate/TCFD Report;2020;Asset Managers;Sweden
ING Groep;https://www.ing.com/Sustainability/Sustainable-business/Terra-approach.htm;Climate/TCFD Report;2020;Banks;Netherlands
HSBC Holdings;https://www.hsbc.com/esg;Climate/TCFD Report;2020;Banks;United Kingdom
Goldfields;https://www.goldfields.com/pdf/investors/integrated-annual-reports/2020/tcfd-report-2020-gold-fields.pdf;Climate/TCFD Report;2020;Metals and Mining;South Africa
GPT Group;https://www.gpt.com.au/sites/default/files/document/GPT%202020%20TCFD%20Climate%20Disclosure_3.pdf;Climate/TCFD Report;2020;Real Estate Management and Development;Australia
Eni;https://www.eni.com/assets/documents/eng/just-transition/2020/Eni-for-2020-eng.pdf;Climate/TCFD Report;2020;Oil and Gas;Italy
Dundee Precious Metals;https://s27.q4cdn.com/486073686/files/doc_downloads/2021/01/TCFD-Report_v1_Preview.pdf;Climate/TCFD Report;2020;Metals and Mining;Canada
Deutsche Bank;https://www.db.com/ir/en/download/2020_Climate_Statement_12_08_2020.pdf;Climate/TCFD Report;2020;Banks;Germany
Daimler;https://www.daimler.com/dokumente/investoren/berichte/geschaeftsberichte/daimler/daimler-ir-tcfd-report-2020.pdf;Climate/TCFD Report;2020;Automobiles and Components;Germany
Credit Suisse;https://www.credit-suisse.com/sustainability/en/reports.html;Climate/TCFD Report;2020;Banks;Switzerland
Citi;https://www.citigroup.com/citi/sustainability/data/finance-for-a-climate-resilient-future-2.pdf?ieNocache=288;Climate/TCFD Report;2020;Banks;United States of America
BP;https://www.bp.com/content/dam/bp/business-sites/en/global/corporate/pdfs/sustainability/bp-tcfd-2020.pdf;Climate/TCFD Report;2020;Oil and Gas;United Kingdom
BBVA;https://shareholdersandinvestors.bbva.com/wp-content/uploads/2020/10/BBVA-report-on-TCFD_Eng.pdf;Climate/TCFD Report;2020;Banks;Spain
BHP;https://www.bhp.com/-/media/documents/investors/annual-reports/2020/200910_bhpclimatechangereport2020.pdf;Climate/TCFD Report;2020;Metals and Mining;Australia
Biogen;https://www.biogen.com/content/dam/corporate/en_us/YIR-2020/pdfs/TCFD-Disclosure-Statement.pdf;Climate/TCFD Report;2020;Chemicals;United States of America
BMO;https://our-impact.bmo.com/wp-content/uploads/2021/01/BMO-2020-Climate-Report.pdf;Climate/TCFD Report;2020;Banks;Canada
BNP Paribas;https://cdn-group.bnpparibas.com/uploads/file/tcfd_2020_bnpparibas_en.pdf;Climate/TCFD Report;2020;Banks;France
BlackRock;https://www.blackrock.com/corporate/literature/continuous-disclosure-and-important-information/tcfd-report-2020-blkinc.pdf;Climate/TCFD Report;2020;Asset Managers;United States of America
AXA Investment Managers;https://realassets.axa-im.com/documents/23818/221263/AXA+IM+-TCFD+Report+Highlights+EN-+Updated+-+160720+FINAL.pdf/81815696-075e-d04e-12bb-8faa7dc4a639?t=1594975520369;Climate/TCFD Report;2020;Asset Managers;France
Bank of America;https://about.bankofamerica.com/assets/pdf/task-force-climate-financial-disclosures-report.pdf;Climate/TCFD Report;2020;Banks;United States of America
Bank of England;"https://www.bankofengland.co.uk/-/media/boe/files/annual-report/2020/climate-related-financial-disclosure-report-2019-20.pdf?la=en&#038;hash=5DA959C54540287A2E90C823807E089055E6721B";Climate/TCFD Report;2020;Banks;United Kingdom
Banque de France;https://www.banque-france.fr/sites/default/files/media/2021/03/30/rapport_ir_2020_angl.pdf;Climate/TCFD Report;2020;Banks;France
Barclays;https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2020/Barclays-TCFD-Report-2020.pdf;Climate/TCFD Report;2020;Banks;United Kingdom
AXA;https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com%2F3800520b-ce0f-4aa7-908d-3ec367b21d39_2020_climate_report_axa.pdf;Climate/TCFD Report;2020;Insurance;France
Aviva;https://www.aviva.com/sustainability/reporting/climate-related-financial-disclosure/;Climate/TCFD Report;2020;Insurance;United Kingdom
Australia and New Zealand Banking Group;https://www.anz.com.au/about-us/esg-priorities/environmental-sustainability/climate-change/;Climate/TCFD Report;2020;Banks;Australia
Aurizon;https://www.aurizon.com.au/sustainability;Climate/TCFD Report;2020;Rail Transportation;Australia
ATP;https://www.atp.dk/en/dokument/climate-2020;Climate/TCFD Report;2020;Asset Owners;Denmark
AP2;https://ap2.se/app/uploads/2021/03/TCFD-Report-2020.pdf;Climate/TCFD Report;2020;Asset Owners;Sweden
Alecta;https://www.alecta.se/globalassets/dokument/finansiella-rapporter/klimatredovisning/alecta-klimatredovisning-2020.pdf;Climate/TCFD Report;2020;Asset Owners;Sweden
AGL Energy;"https://www.agl.com.au/-/media/aglmedia/documents/about-agl/investors/results-centre/2020/pathways-to-2050_130820.pdf?la=en&#038;hash=9DC5D8FE10577CA5061ECF3A047892CB";Climate/TCFD Report;2020;Multi-Utilities;Australia
AIMCO;https://assets.ctfassets.net/lyt4cjmefjno/AEGMTeYYepLWNTYU7hcjT/1b19aad92e2249f3b0c99a310e7564f4/AIMCO-TCFD.pdf;Climate/TCFD Report;2020;Asset Managers;Canada